Punto Numero:	Temperatura:	Heatflow:
1	  61.0	    0.099
2	  61.0	    0.103
3	  61.0	    0.103
4	  61.0	    0.105
5	  61.0	    0.108
6	  61.0	    0.119
7	  61.0	    0.132
8	  61.0	    0.150
9	  61.1	    0.167
10	  61.1	    0.187
11	  61.2	    0.204
12	  61.2	    0.220
13	  61.3	    0.234
14	  61.4	    0.247
15	  61.5	    0.254
16	  61.6	    0.259
17	  61.7	    0.261
18	  61.8	    0.259
19	  61.9	    0.254
20	  62.0	    0.247
21	  62.1	    0.234
22	  62.2	    0.220
23	  62.4	    0.203
24	  62.5	    0.184
25	  62.6	    0.162
26	  62.8	    0.136
27	  62.9	    0.110
28	  63.1	    0.082
29	  63.2	    0.051
30	  63.4	    0.021
31	  63.5	   -0.008
32	  63.7	   -0.037
33	  63.8	   -0.070
34	  64.0	   -0.101
35	  64.1	   -0.132
36	  64.3	   -0.164
37	  64.4	   -0.195
38	  64.6	   -0.224
39	  64.7	   -0.254
40	  64.9	   -0.284
41	  65.0	   -0.309
42	  65.2	   -0.338
43	  65.3	   -0.363
44	  65.5	   -0.389
45	  65.6	   -0.412
46	  65.8	   -0.429
47	  66.0	   -0.457
48	  66.1	   -0.477
49	  66.3	   -0.499
50	  66.4	   -0.518
51	  66.6	   -0.537
52	  66.7	   -0.555
53	  66.9	   -0.572
54	  67.0	   -0.588
55	  67.2	   -0.604
56	  67.3	   -0.618
57	  67.5	   -0.631
58	  67.7	   -0.644
59	  67.8	   -0.656
60	  68.0	   -0.669
61	  68.1	   -0.679
62	  68.3	   -0.689
63	  68.4	   -0.700
64	  68.6	   -0.711
65	  68.7	   -0.719
66	  68.9	   -0.727
67	  69.1	   -0.734
68	  69.2	   -0.742
69	  69.4	   -0.750
70	  69.6	   -0.757
71	  69.7	   -0.763
72	  69.9	   -0.769
73	  70.0	   -0.776
74	  70.2	   -0.781
75	  70.3	   -0.786
76	  70.5	   -0.791
77	  70.7	   -0.795
78	  70.8	   -0.799
79	  71.0	   -0.804
80	  71.2	   -0.808
81	  71.3	   -0.812
82	  71.5	   -0.816
83	  71.6	   -0.818
84	  71.8	   -0.821
85	  71.9	   -0.825
86	  72.1	   -0.828
87	  72.3	   -0.830
88	  72.4	   -0.832
89	  72.6	   -0.833
90	  72.8	   -0.835
91	  72.9	   -0.836
92	  73.1	   -0.836
93	  73.2	   -0.838
94	  73.4	   -0.839
95	  73.6	   -0.842
96	  73.7	   -0.843
97	  73.9	   -0.845
98	  74.0	   -0.846
99	  74.2	   -0.847
100	  74.4	   -0.849
101	  74.5	   -0.849
102	  74.7	   -0.851
103	  74.9	   -0.853
104	  75.0	   -0.853
105	  75.2	   -0.856
106	  75.3	   -0.857
107	  75.5	   -0.859
108	  75.7	   -0.859
109	  75.8	   -0.860
110	  76.0	   -0.862
111	  76.1	   -0.862
112	  76.3	   -0.864
113	  76.4	   -0.865
114	  76.6	   -0.867
115	  76.8	   -0.866
116	  76.9	   -0.869
117	  77.1	   -0.869
118	  77.3	   -0.870
119	  77.4	   -0.872
120	  77.6	   -0.872
121	  77.8	   -0.873
122	  77.9	   -0.874
123	  78.1	   -0.875
124	  78.3	   -0.876
125	  78.4	   -0.878
126	  78.6	   -0.878
127	  78.7	   -0.880
128	  78.9	   -0.881
129	  79.1	   -0.883
130	  79.2	   -0.884
131	  79.4	   -0.884
132	  79.5	   -0.885
133	  79.7	   -0.885
134	  79.9	   -0.887
135	  80.0	   -0.887
136	  80.2	   -0.888
137	  80.3	   -0.889
138	  80.5	   -0.890
139	  80.7	   -0.890
140	  80.8	   -0.893
141	  81.0	   -0.893
142	  81.2	   -0.894
143	  81.3	   -0.895
144	  81.5	   -0.896
145	  81.7	   -0.897
146	  81.8	   -0.898
147	  82.0	   -0.899
148	  82.1	   -0.900
149	  82.3	   -0.901
150	  82.5	   -0.903
151	  82.6	   -0.903
152	  82.8	   -0.904
153	  83.0	   -0.906
154	  83.1	   -0.908
155	  83.3	   -0.909
156	  83.4	   -0.911
157	  83.6	   -0.912
158	  83.8	   -0.913
159	  83.9	   -0.915
160	  84.1	   -0.917
161	  84.3	   -0.918
162	  84.4	   -0.920
163	  84.6	   -0.922
164	  84.8	   -0.923
165	  84.9	   -0.924
166	  85.1	   -0.926
167	  85.2	   -0.927
168	  85.4	   -0.928
169	  85.6	   -0.930
170	  85.7	   -0.931
171	  85.9	   -0.932
172	  86.0	   -0.933
173	  86.2	   -0.935
174	  86.4	   -0.936
175	  86.5	   -0.937
176	  86.7	   -0.937
177	  86.9	   -0.938
178	  87.0	   -0.939
179	  87.2	   -0.940
180	  87.4	   -0.940
181	  87.5	   -0.943
182	  87.7	   -0.944
183	  87.9	   -0.947
184	  88.0	   -0.948
185	  88.2	   -0.949
186	  88.3	   -0.952
187	  88.5	   -0.954
188	  88.7	   -0.955
189	  88.8	   -0.956
190	  89.0	   -0.959
191	  89.1	   -0.961
192	  89.3	   -0.962
193	  89.5	   -0.964
194	  89.7	   -0.966
195	  89.8	   -0.968
196	  90.0	   -0.970
197	  90.1	   -0.972
198	  90.3	   -0.974
199	  90.5	   -0.976
200	  90.6	   -0.977
201	  90.8	   -0.979
202	  91.0	   -0.981
203	  91.1	   -0.982
204	  91.3	   -0.984
205	  91.5	   -0.986
206	  91.6	   -0.987
207	  91.8	   -0.988
208	  92.0	   -0.990
209	  92.1	   -0.992
210	  92.3	   -0.992
211	  92.4	   -0.994
212	  92.6	   -0.995
213	  92.8	   -0.996
214	  93.0	   -0.998
215	  93.1	   -1.000
216	  93.3	   -1.001
217	  93.4	   -1.002
218	  93.6	   -1.004
219	  93.8	   -1.005
220	  93.9	   -1.007
221	  94.1	   -1.010
222	  94.3	   -1.013
223	  94.4	   -1.014
224	  94.6	   -1.015
225	  94.7	   -1.019
226	  94.9	   -1.020
227	  95.1	   -1.021
228	  95.2	   -1.023
229	  95.4	   -1.026
230	  95.6	   -1.027
231	  95.7	   -1.029
232	  95.9	   -1.032
233	  96.1	   -1.035
234	  96.2	   -1.038
235	  96.4	   -1.040
236	  96.6	   -1.043
237	  96.7	   -1.045
238	  96.9	   -1.046
239	  97.1	   -1.049
240	  97.2	   -1.052
241	  97.4	   -1.053
242	  97.5	   -1.055
243	  97.7	   -1.057
244	  97.9	   -1.058
245	  98.0	   -1.060
246	  98.2	   -1.063
247	  98.3	   -1.066
248	  98.5	   -1.068
249	  98.6	   -1.070
250	  98.8	   -1.072
251	  99.0	   -1.073
252	  99.2	   -1.076
253	  99.3	   -1.079
254	  99.5	   -1.080
255	  99.6	   -1.082
256	  99.8	   -1.085
257	 100.0	   -1.087
258	 100.1	   -1.089
259	 100.3	   -1.091
260	 100.5	   -1.094
261	 100.6	   -1.096
262	 100.8	   -1.098
263	 101.0	   -1.101
264	 101.1	   -1.104
