time_s,voltage_V,uncertainty_V
0.0,0.0018523701860277322,0.05
0.001,3.262678553605968,0.05
0.002,4.3220743560634425,0.05
0.003,4.775613271783233,0.05
0.004,4.943951124457907,0.05
0.005,5.030228092468702,0.05
0.006,4.9389301701868575,0.05
0.007,5.021643528680354,0.05
0.008,5.000779104441018,0.05
0.009000000000000001,4.980779213157858,0.05
0.01,4.979672220738652,0.05
0.011,1.8437304453457428,0.05
0.012,0.7211192195187774,0.05
0.013000000000000001,0.2340291851910799,0.05
0.014,0.2135889067912565,0.05
0.015,0.04239418749558094,0.05
0.016,0.03441420157600387,0.05
0.017,0.07504142689490692,0.05
0.018000000000000002,0.026015084133265635,0.05
0.019000000000000003,0.043714619133949036,0.05
0.02,-0.03658091551853022,0.05
0.021,3.1875696886074163,0.05
0.022,4.306124552678515,0.05
0.023,4.721768116611982,0.05
0.024,4.92107309922008,0.05
0.025,4.953273565220245,0.05
0.026000000000000002,5.029547300739864,0.05
0.027,5.04052929158523,0.05
0.028,4.989772789993664,0.05
0.029,4.983221226992118,0.05
0.03,5.019977746603986,0.05
0.031,1.8034738630853404,0.05
0.032,0.652928587691308,0.05
0.033,0.23810605319277742,0.05
0.034,0.030173827830927216,0.05
0.034999999999999996,0.011376999050803523,0.05
0.036,0.08504161673553481,0.05
0.037,-0.05969592832404846,0.05
0.038,-0.08781277604430034,0.05
0.039,-0.04712158074315043,0.05
0.04,0.08707231325244948,0.05
0.041,3.1966570389349576,0.05
0.042,4.40638792531674,0.05
0.043000000000000003,4.76538946468278,0.05
0.044,5.008319219786942,0.05
0.045,4.945781365184695,0.05
0.046,5.040215146309954,0.05
0.047,4.9911045146019735,0.05
0.048,4.970685370605889,0.05
0.049,5.044367769192218,0.05
0.05,5.06230807123713,0.05
0.051000000000000004,1.8309567786949412,0.05
0.052000000000000005,0.5918301905103697,0.05
0.053000000000000005,0.22855400924853111,0.05
0.054000000000000006,0.10479890735920235,0.05
0.055,0.01845437835078729,0.05
0.056,0.002134035439667774,0.05
0.057,0.09808049858214056,0.05
0.058,0.013026536555527709,0.05
0.059000000000000004,0.038490963009588125,0.05
0.06,0.0012095144613888179,0.05
0.061,3.1244862038348775,0.05
0.062,4.40915188411346,0.05
0.063,4.7322293596245055,0.05
0.064,4.901410922365996,0.05
0.065,4.961755186428609,0.05
0.066,5.0219922791276455,0.05
0.067,4.921114492116133,0.05
0.068,4.9511386182634505,0.05
0.069,5.030126340564363,0.05
0.07,5.002892524581387,0.05
0.07100000000000001,1.7853961582843316,0.05
0.07200000000000001,0.6731525562700631,0.05
0.07300000000000001,0.18388208877498308,0.05
0.07400000000000001,0.04563129577090398,0.05
0.07500000000000001,0.06557433156408222,0.05
0.07600000000000001,-0.05504941181052075,0.05
0.07700000000000001,-0.019547522054267,0.05
0.07800000000000001,0.026863986220500496,0.05
0.07900000000000001,-0.04946774774716757,0.05
